Date,Open,High,Low,Close,Adj Close,Volume
2015-03-09,629.400024,629.400024,629.400024,629.400024,629.400024,0
2015-03-10,12.000000,12.000000,12.000000,12.000000,12.000000,0
2015-03-11,0.600000,0.600000,0.600000,0.600000,0.600000,0
2015-03-12,0.600000,0.600000,0.600000,0.600000,0.600000,0
2015-03-13,0.600000,0.600000,0.600000,0.600000,0.600000,0
2015-03-16,564.000000,564.000000,564.000000,564.000000,564.000000,0
2015-03-17,570.000000,570.000000,570.000000,570.000000,570.000000,0
2015-03-18,567.000000,567.000000,567.000000,567.000000,567.000000,0
2015-03-19,570.000000,570.000000,570.000000,570.000000,570.000000,0
2015-03-20,564.000000,564.000000,564.000000,564.000000,564.000000,0
2015-03-23,570.000000,570.000000,570.000000,570.000000,570.000000,0
2015-03-24,570.000000,570.000000,570.000000,570.000000,570.000000,0
2015-03-25,0.600000,0.600000,0.600000,0.600000,0.600000,0
2015-03-26,0.600000,0.600000,0.600000,0.600000,0.600000,0
2015-03-27,591.000000,591.000000,588.000000,588.000000,588.000000,8315
2015-03-30,588.000000,588.000000,588.000000,588.000000,588.000000,0
2015-03-31,588.000000,588.000000,588.000000,588.000000,588.000000,0
2015-04-01,588.000000,588.000000,588.000000,588.000000,588.000000,0
2015-04-02,588.599976,589.200012,588.000000,588.599976,588.599976,277
2015-04-06,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-04-07,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-04-08,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-04-09,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-04-10,597.000000,597.000000,589.200012,589.200012,589.200012,3
2015-04-13,589.200012,589.200012,589.200012,589.200012,589.200012,0
2015-04-14,589.200012,589.200012,589.200012,589.200012,589.200012,0
2015-04-15,589.200012,589.200012,589.200012,589.200012,589.200012,0
2015-04-16,589.200012,589.200012,589.200012,589.200012,589.200012,0
2015-04-17,589.200012,589.200012,589.200012,589.200012,589.200012,0
2015-04-20,589.200012,589.200012,589.200012,589.200012,589.200012,0
2015-04-21,591.000000,591.000000,582.000000,591.000000,591.000000,6395
2015-04-22,594.000000,594.000000,594.000000,594.000000,594.000000,3667
2015-04-23,594.000000,594.000000,594.000000,594.000000,594.000000,0
2015-04-24,594.000000,594.000000,594.000000,594.000000,594.000000,0
2015-04-27,588.000000,588.000000,588.000000,588.000000,588.000000,3
2015-04-28,591.000000,591.000000,588.000000,588.000000,588.000000,12505
2015-04-29,588.000000,588.000000,588.000000,588.000000,588.000000,0
2015-04-30,588.000000,588.000000,588.000000,588.000000,588.000000,0
2015-05-01,591.059998,591.059998,589.200012,589.200012,589.200012,7
2015-05-04,590.400024,591.000000,589.799988,589.799988,589.799988,125
2015-05-05,589.799988,593.400024,588.599976,588.599976,588.599976,150
2015-05-06,589.799988,589.799988,589.799988,589.799988,589.799988,8
2015-05-07,588.599976,588.599976,588.599976,588.599976,588.599976,5
2015-05-08,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-11,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-12,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-13,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-14,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-15,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-18,588.599976,588.599976,585.599976,586.799988,586.799988,5027
2015-05-19,586.799988,586.799988,586.799988,586.799988,586.799988,0
2015-05-20,586.799988,586.799988,586.799988,586.799988,586.799988,0
2015-05-21,588.599976,588.599976,588.599976,588.599976,588.599976,3
2015-05-22,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-26,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-27,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-28,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-05-29,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-06-01,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-06-02,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-06-03,588.599976,588.599976,588.599976,588.599976,588.599976,0
2015-06-04,591.000000,592.799988,591.000000,592.200012,592.200012,25
2015-06-05,592.200012,592.200012,592.200012,592.200012,592.200012,0
2015-06-08,592.200012,592.200012,592.200012,592.200012,592.200012,0
2015-06-09,592.200012,592.200012,592.200012,592.200012,592.200012,0
2015-06-10,592.200012,592.200012,592.200012,592.200012,592.200012,0
2015-06-11,591.000000,591.000000,591.000000,591.000000,591.000000,2
2015-06-12,590.400024,591.000000,589.799988,590.400024,590.400024,2048
2015-06-15,590.400024,590.400024,590.400024,590.400024,590.400024,0
2015-06-16,592.799988,597.000000,591.599976,594.000000,594.000000,8378
2015-06-17,594.000000,594.000000,594.000000,594.000000,594.000000,0
2015-06-18,594.000000,594.000000,594.000000,594.000000,594.000000,0
2015-06-19,591.599976,591.599976,591.000000,591.000000,591.000000,83
2015-06-22,591.000000,591.000000,591.000000,591.000000,591.000000,0
2015-06-23,591.000000,591.000000,591.000000,591.000000,591.000000,0
2015-06-24,594.000000,596.400024,594.000000,596.400024,596.400024,2510
2015-06-25,596.400024,596.400024,596.400024,596.400024,596.400024,0
2015-06-26,596.400024,596.400024,596.400024,596.400024,596.400024,0
2015-06-29,596.400024,596.400024,596.400024,596.400024,596.400024,0
2015-06-30,596.400024,596.400024,596.400024,596.400024,596.400024,0
2015-07-01,596.400024,596.400024,596.400024,596.400024,596.400024,0
2015-07-02,596.400024,596.400024,596.400024,596.400024,596.400024,0
2015-07-06,596.400024,596.400024,596.400024,596.400024,596.400024,0
2015-07-07,596.400024,596.400024,596.400024,596.400024,596.400024,0
2015-07-08,591.000000,596.400024,588.000000,591.599976,591.599976,9252
2015-07-09,594.000000,594.000000,591.599976,591.599976,591.599976,3
2015-07-10,594.000000,594.000000,591.599976,591.599976,591.599976,10
2015-07-13,594.000000,594.000000,591.000000,591.000000,591.000000,12
2015-07-14,593.099976,594.000000,592.799988,594.000000,594.000000,417
2015-07-15,594.000000,594.000000,588.599976,591.000000,591.000000,5498
2015-07-16,592.200012,593.400024,591.000000,591.000000,591.000000,103
2015-07-17,594.599976,594.599976,590.400024,590.400024,590.400024,32
2015-07-20,591.000000,591.000000,591.000000,591.000000,591.000000,1667
2015-07-21,591.000000,591.000000,591.000000,591.000000,591.000000,0
2015-07-22,591.000000,591.000000,591.000000,591.000000,591.000000,0
2015-07-23,591.000000,591.000000,591.000000,591.000000,591.000000,0
2015-07-24,591.000000,591.000000,591.000000,591.000000,591.000000,0
2015-07-27,591.000000,591.000000,591.000000,591.000000,591.000000,0
2015-07-28,591.000000,591.000000,591.000000,591.000000,591.000000,0
2015-07-29,591.000000,591.000000,591.000000,591.000000,591.000000,0
2015-07-30,592.200012,592.200012,592.200012,592.200012,592.200012,33
2015-07-31,592.200012,592.200012,592.200012,592.200012,592.200012,0
2015-08-03,592.200012,592.200012,592.200012,592.200012,592.200012,0
2015-08-04,592.200012,592.200012,592.200012,592.200012,592.200012,0
2015-08-05,592.200012,592.200012,592.200012,592.200012,592.200012,0
