Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,1312.500000,1340.000000,1287.500000,1325.000000,1325.000000,688
2016-08-02,1312.500000,1312.500000,1252.500000,1275.000000,1275.000000,218
2016-08-03,1275.000000,1275.000000,1177.500000,1225.000000,1225.000000,312
2016-08-04,1222.500000,1227.500000,1157.500000,1157.500000,1157.500000,103
2016-08-05,1247.500000,1247.500000,1137.500000,1175.000000,1175.000000,97
2016-08-08,1202.500000,1247.500000,1200.000000,1240.000000,1240.000000,137
2016-08-09,1305.000000,1317.500000,1287.500000,1300.000000,1300.000000,327
2016-08-10,1312.500000,1312.500000,1235.000000,1250.000000,1250.000000,80
2016-08-11,1295.000000,1295.000000,1260.000000,1260.000000,1260.000000,16
2016-08-12,1207.250000,1297.500000,1207.250000,1297.500000,1297.500000,20
2016-08-15,1250.000000,1250.000000,1207.500000,1247.500000,1247.500000,59
2016-08-16,1232.500000,1262.500000,1215.000000,1222.500000,1222.500000,40
2016-08-17,1182.500000,1202.500000,1175.000000,1202.500000,1202.500000,89
2016-08-18,1182.500000,1182.500000,1075.000000,1097.500000,1097.500000,163
2016-08-19,1075.000000,1150.000000,1075.000000,1147.500000,1147.500000,104
2016-08-22,1145.000000,1162.500000,1108.500000,1160.000000,1160.000000,99
2016-08-23,1235.000000,1235.000000,1186.250000,1197.500000,1197.500000,69
2016-08-24,1225.000000,1225.000000,1172.500000,1190.000000,1190.000000,76
2016-08-25,1173.000000,1187.500000,1173.000000,1185.000000,1185.000000,23
2016-08-26,1160.000000,1205.000000,1157.500000,1205.000000,1205.000000,7
2016-08-29,1177.500000,1192.500000,1163.750000,1192.500000,1192.500000,25
2016-08-30,1182.500000,1182.500000,1162.500000,1177.500000,1177.500000,11
2016-08-31,1152.500000,1160.000000,1112.500000,1117.500000,1117.500000,82
2016-09-01,1105.000000,1110.000000,1077.500000,1100.000000,1100.000000,92
2016-09-02,1100.000000,1107.500000,1060.000000,1107.500000,1107.500000,62
2016-09-06,1167.500000,1167.500000,1122.500000,1147.500000,1147.500000,130
